"var","par","lab","mean","se_mean","sd","X2.5.","X10.","X50.","X90.","X97.5.","n_eff","Rhat"
"nox","a_s[8]","L4",-0.288440929113371,0.00416678741139509,0.134744171518344,-0.54977186613346,-0.444745549593095,-0.292927426461783,-0.122713108007186,0.00126703669491501,1045.72451684519,1.00225890341721
"nox","a_s[9]","L1",0.338542283621923,0.00621746340404523,0.209211278556,-0.0547561945777376,0.0936469780276971,0.329563776633585,0.582960606422607,0.816780201948699,1132.25360416719,1.00162551758385
"nox","a_s[10]","Ls",-0.340873645907003,0.0043584087782143,0.141477295976737,-0.602324978523918,-0.505572869878316,-0.34591793093565,-0.167525660109862,-0.0359486827684745,1053.70145584236,1.00192957499374
"nox","a_s[11]","Ln",-0.406325019351056,0.00365175196301743,0.121266423883339,-0.641013661191221,-0.554090774107772,-0.409474440172689,-0.255219192696483,-0.151370239710929,1102.75388952953,1.00210394270807
"nh3","b_d","degrd",0.161990485251792,0.00240920087199765,0.0874790962704668,-0.00996044990923008,0.0570458170662558,0.160250792154886,0.270758912997873,0.335941189925979,1318.44662299884,1.00106180107806
"nh3","b_r","restr",0.438177955962262,0.00358141775188142,0.178168925083792,0.105930397130331,0.207625037953692,0.436315649769458,0.672755194525783,0.793292046838262,2474.87891599844,1.00129238531552
"nh3","b_dp","degrd:rain1",0.0245214290455163,0.00017240900140772,0.0126344699343906,-0.000387776135839923,0.00816651740169148,0.0245650654039442,0.0406348970151646,0.0491738950834603,5370.24599262995,0.999442482780004
"nh3","b_rp","restr:rain1",0.153161444188658,0.00128544713633711,0.0898087729022733,-0.0255300786399478,0.037926441360701,0.154455693527009,0.26595098882076,0.327459953112063,4881.2278751941,0.999145385413384
"nh3","b_add1","rain365",0.00643432361455733,8.59307642949029e-05,0.00761311754976671,-0.00847369782397629,-0.00326219030021154,0.00633657445161727,0.0162183466495356,0.0216966074608864,7849.24205294106,0.999372651745379
"nh3","t_mu","time (mean)",-0.0202561200385645,0.000621151941755807,0.0356807402959032,-0.0819554112788801,-0.062188200855698,-0.0229900002121493,0.0254502036214889,0.0606493683254797,3299.68147452005,1.00003693162584
"nh3","b_auto_t","autoT",0.290948311620805,0.000301222926531801,0.0250449727143468,0.242228056353937,0.258915075733263,0.29111628946568,0.322336595933535,0.339951627752684,6912.9764684781,0.999610032821191
"nh3","b_auto_s","autoS",0.553344589653863,0.000804195061375089,0.0614318776164803,0.431056694383061,0.474756179081546,0.553488149675795,0.632526319290748,0.67149141679715,5835.32131972427,1.00034328355721
"nh3","a_s[1]","Sa",-0.377575437778465,0.00280561457982709,0.0831469739967535,-0.541471171537727,-0.47747188459605,-0.378901367581396,-0.276648021315475,-0.215119658961318,878.287854768103,1.00108991368856
"nh3","a_s[2]","Ly",0.211436353329839,0.00484776345298963,0.154014977291215,-0.0949728543962653,0.0220112209038547,0.211950185019527,0.402142193229367,0.508441343557386,1009.35298524737,1.0005739122239
"nh3","a_s[3]","Ol",-0.0448468473749126,0.00419514362712754,0.131244148137677,-0.299209264190509,-0.206885677748344,-0.0437542212541527,0.116513377749637,0.210238880757584,978.737499837567,1.00068693381952
"nh3","a_s[4]","Br",0.175039023042187,0.00258165771516356,0.0982299199576877,-0.019581292963979,0.0541893419456144,0.17482773664595,0.294241224238043,0.366901144876311,1447.73894481433,1.00204512981093
"nh3","a_s[5]","Fe",-0.107569551577063,0.00228049576745502,0.0816773489578785,-0.269198618440293,-0.207376198290863,-0.107345705916527,-0.00811336479094289,0.0501906449360568,1282.75798073571,1.00223710349606
"nh3","a_s[6]","D4",-0.0248407271019502,0.00235281559961062,0.0717869705753982,-0.159017857806272,-0.109147798243062,-0.0251323097568571,0.0604205380917164,0.124856055816263,930.926666474861,1.00146941351844
"nh3","a_s[7]","D8",0.0652084271595367,0.00258410891134268,0.0824613374015399,-0.0935104711817757,-0.0328284843450045,0.0633997729215523,0.167665628942474,0.233450036930165,1018.30791826085,1.00226344417271
"nh3","a_s[8]","L4",-0.0902323738253493,0.00223308066404133,0.0785789908217397,-0.244452444126475,-0.184801448581724,-0.0920074370739984,0.0054063052899626,0.0655292171119392,1238.23783995713,1.00178275817492
"nh3","a_s[9]","L1",0.0656060191321407,0.00264316655388918,0.102262834419783,-0.136844900857799,-0.0590937744197822,0.0655624907652179,0.191688145216169,0.270008930172163,1496.87864077365,1.00133294501352
"nh3","a_s[10]","Ls",-0.0656006664086566,0.00230398943072302,0.0885422459521639,-0.236886254070404,-0.173932693592717,-0.0667957546014877,0.0453227948293483,0.108419817498579,1476.86263587229,1.00195154508344
"nh3","a_s[11]","Ln",0.228830724430752,0.00221719191201398,0.0793048547590882,0.0754777073059531,0.130926033586237,0.227605976621167,0.327914553768149,0.385905649600439,1279.36061480157,1.00164755559223
